year,type,TWh
2000,Fossil thermal,9955.422
2000,Nuclear,2590.624
2000,Hydro,2612.8204
2000,Other renewables,269.561
2001,Fossil thermal,10071.993
2001,Nuclear,2637.685
2001,Hydro,2556.583
2001,Other renewables,281.825
2002,Fossil thermal,10558.825
2002,Nuclear,2660.778
2002,Hydro,2628.481
2002,Other renewables,311.968
2003,Fossil thermal,11138.797
2003,Nuclear,2635.3513
2003,Hydro,2642.2947
2003,Other renewables,334.91088
2004,Fossil thermal,11598.326
2004,Nuclear,2738.0121
2004,Hydro,2810.3563
2004,Other renewables,377.73813
2005,Fossil thermal,12156.698
2005,Nuclear,2767.9515
2005,Hydro,2934.4701
2005,Other renewables,428.11174
2006,Fossil thermal,12699.496
2006,Nuclear,2791.4712
2006,Hydro,3039.6069
2006,Other renewables,474.32259
2007,Fossil thermal,13500.675
2007,Nuclear,2719.2292
2007,Hydro,3082.0873
2007,Other renewables,535.79588
2008,Fossil thermal,13663.493
2008,Nuclear,2733.0849
2008,Hydro,3207.5417
2008,Other renewables,610.79553
2009,Fossil thermal,13480.833
2009,Nuclear,2696.1811
2009,Hydro,3265.1517
2009,Other renewables,705.89395
2010,Fossil thermal,14480.765
2010,Nuclear,2756.2889
2010,Hydro,3448.5848
2010,Other renewables,840.35342
2011,Fossil thermal,15126.682
2011,Nuclear,2582.6393
2011,Hydro,3509.9973
2011,Other renewables,994.0496
2012,Fossil thermal,15451.914
2012,Nuclear,2460.2855
2012,Hydro,3674.7958
2012,Other renewables,1149.5442
2013,Fossil thermal,15781.937
2013,Nuclear,2479.1052
2013,Hydro,3806.2444
2013,Other renewables,1352.7767
2014,Fossil thermal,16046.173
2014,Nuclear,2535.4045
2014,Hydro,3887.8508
2014,Other renewables,1515.4649
2015,Fossil thermal,16094.265
2015,Nuclear,2570.0707
2015,Hydro,3893.8668
2015,Other renewables,1716.6548
2016,Fossil thermal,16339.136
2016,Nuclear,2608.4018
2016,Hydro,4031.9327
2016,Other renewables,1968.2739
2017,Fossil thermal,16687.93
2017,Nuclear,2636.1172
2017,Hydro,4074.5379
2017,Other renewables,2289.9179
2018,Fossil thermal,17081.705
2018,Nuclear,2709.1007
2018,Hydro,4201.9302
2018,Other renewables,2602.5073
2019,Fossil thermal,17007.627
2019,Nuclear,2789.6944
2019,Hydro,4220.7331
2019,Other renewables,2917.9032
